Block,datetime
Block_J8-232,2020-12-14 12:05:23
Block_J8-233,2020-12-14 16:17:44
Block_J8-234,2020-12-15 10:45:48
Block_J8-235,2020-12-15 16:12:36
Block_J8-236,2020-12-16 12:38:54
Block_J8-237,2020-12-16 17:33:17
Block_J8-238,2020-12-17 12:58:15
Block_J8-239,2020-12-17 17:22:26
Block_J8-240,2020-12-18 12:58:25
Block_J8-241,2020-12-18 17:30:37
Block_J8-242,2020-12-21 12:15:33
Block_J8-243,2020-12-21 17:33:17
Block_J8-244,2020-12-22 12:54:15
Block_J8-245,2020-12-22 18:02:35
Block_J8-246,2020-12-23 12:07:09
Block_J8-247,2020-12-23 16:49:06
Block_J8-248,2020-12-24 12:16:17
Block_J8-249,2020-12-24 16:59:29
Block_J8-250,2020-12-27 11:40:31
Block_J8-251,2020-12-28 11:48:14
Block_J8-252,2020-12-28 16:54:42
Block_J8-253,2020-12-29 11:47:19
Block_J8-254,2020-12-29 17:24:57
Block_J8-255,2020-12-30 11:49:56
Block_J8-256,2020-12-30 17:10:02
Block_J8-257,2020-12-31 12:05:36
Block_J8-258,2020-12-31 17:18:27
Block_J9-1,2021-01-07 12:27:56
Block_J9-2,2021-01-07 17:36:01
Block_J9-3,2021-01-08 11:30:44
Block_J9-4,2021-01-08 16:59:59
Block_J9-5,2021-01-09 14:48:32
