Block,datetime
Block_J6-244,2019-08-27 09:46:10
Block_J6-245,2019-08-27 16:02:59
Block_J6-246,2019-08-28 10:36:45
Block_J6-247,2019-08-28 15:41:43
Block_J6-248,2019-08-29 10:31:50
Block_J6-249,2019-08-29 15:48:02
Block_J6-250,2019-08-30 10:57:23
Block_J6-251,2019-08-30 15:49:50
Block_J6-252,2019-09-16 11:11:31
Block_J6-253,2019-09-16 15:54:32
Block_J6-254,2019-09-17 10:51:11
Block_J6-255,2019-09-17 15:49:02
Block_J6-256,2019-09-18 10:27:18
Block_J6-257,2019-09-18 13:02:17
Block_J6-258,2019-09-18 16:03:47
Block_J6-259,2019-09-19 09:58:50
Block_J6-260,2019-09-19 16:32:49
Block_J6-261,2019-09-20 11:12:59
Block_J6-262,2019-09-20 16:07:11
Block_J6-263,2019-09-23 10:54:48
Block_J6-264,2019-09-23 15:45:35
Block_J6-265,2019-09-24 12:04:35
Block_J6-266,2019-09-24 16:14:01
Block_J6-267,2019-09-25 10:36:19
Block_J6-268,2019-09-25 16:04:32
Block_J6-269,2019-09-26 10:37:38
Block_J6-270,2019-09-26 15:43:07
Block_J6-271,2019-09-27 10:07:08
Block_J6-272,2019-09-27 15:16:29
