Block,datetime
Block_J8-79,2020-06-27 16:47:57
Block_J8-80,2020-06-29 19:18:32
Block_J8-81,2020-06-30 13:28:29
Block_J8-82,2020-06-30 18:23:22
Block_J8-83,2020-07-01 11:53:08
Block_J8-84,2020-07-01 17:22:23
Block_J8-85,2020-07-02 12:47:09
Block_J8-86,2020-07-02 19:44:54
Block_J8-87,2020-07-03 18:21:22
Block_J8-88,2020-07-04 17:41:00
Block_J8-89,2020-07-04 17:43:37
Block_J8-90,2020-07-06 19:55:13
Block_J8-91,2020-07-07 13:47:55
Block_J8-92,2020-07-07 18:32:08
Block_J8-93,2020-07-08 18:36:19
Block_J8-94,2020-07-09 11:45:54
Block_J8-95,2020-07-09 17:32:02
Block_J8-96,2020-07-10 11:28:23
Block_J8-97,2020-07-10 17:03:26
Block_J8-98,2020-07-20 18:54:24
Block_J8-100,2020-07-21 19:09:46
Block_J8-99,2020-07-21 13:12:42
Block_J8-101,2020-07-22 10:56:57
Block_J8-102,2020-07-22 19:16:01
Block_J8-103,2020-08-03 11:58:34
Block_J8-104,2020-08-03 18:16:01
Block_J8-105,2020-08-03 18:16:31
Block_J8-106,2020-08-04 20:02:58
Block_J8-107,2020-08-05 13:16:29
Block_J8-108,2020-08-05 18:49:19
Block_J8-109,2020-08-06 12:55:23
Block_J8-110,2020-08-06 18:35:46
Block_J8-111,2020-08-07 10:43:34
Block_J8-112,2020-08-07 16:09:07
Block_J8-113,2020-08-15 15:52:38
Block_J8-114,2020-08-17 12:42:15
Block_J8-115,2020-08-17 17:56:28
Block_J8-116,2020-08-18 12:58:49
Block_J8-117,2020-08-18 18:27:24
Block_J8-118,2020-08-19 13:01:52
Block_J8-119,2020-08-19 19:01:05
Block_J8-120,2020-08-20 11:29:53
Block_J8-121,2020-08-20 18:36:25
Block_J8-122,2020-08-21 11:43:39
Block_J8-123,2020-08-21 18:56:31
