Block,datetime
Block_J6-273,2019-10-07 10:19:06
Block_J6-274,2019-10-07 16:17:38
Block_J6-275,2019-10-08 10:46:39
Block_J6-276,2019-10-28 11:21:18
Block_J6-277,2019-10-28 15:46:40
Block_J6-278,2019-10-29 11:00:51
Block_J6-279,2019-10-29 15:31:27
Block_J6-280,2019-10-30 09:38:38
Block_J6-281,2019-10-30 15:40:17
Block_J6-282,2019-10-31 10:47:29
Block_J6-283,2019-10-31 15:59:00
Block_J6-284,2019-11-01 09:15:13
Block_J6-285,2019-11-01 14:42:28
Block_J6-286,2019-11-04 09:15:31
Block_J6-287,2019-11-04 14:49:26
Block_J6-288,2019-11-04 14:58:38
Block_J6-289,2019-11-05 09:28:13
Block_J6-290,2019-11-05 17:21:20
Block_J6-291,2019-11-06 08:24:17
Block_J6-292,2019-11-06 13:50:57
Block_J6-293,2019-11-07 09:36:29
Block_J6-294,2019-11-07 14:33:25
Block_J6-295,2019-11-08 09:10:23
Block_J6-296,2019-11-08 14:58:53
Block_J6-297,2019-11-11 09:02:42
Block_J6-298,2019-11-11 14:50:55
Block_J6-299,2019-11-12 08:47:45
Block_J6-300,2019-11-12 14:02:08
Block_J6-301,2019-11-12 16:05:42
Block_J6-302,2019-11-13 10:38:57
Block_J6-303,2019-11-13 18:42:19
Block_J6-304,2019-11-14 10:40:05
Block_J6-305,2019-11-14 16:51:15
Block_J6-306,2019-11-15 11:12:39
Block_J6-307,2019-11-15 16:10:40
Block_J6-308,2019-11-18 09:24:24
Block_J6-309,2019-11-18 15:31:51
Block_J6-310,2019-11-19 10:37:05
Block_J6-312,2019-11-20 08:43:28
Block_J6-313,2019-11-20 17:18:59
Block_J6-314,2019-11-21 11:17:05
Block_J6-315,2019-11-21 13:42:22
Block_J6-316,2019-11-21 17:00:23
Block_J6-317,2019-11-21 17:23:22
Block_J6-318,2019-11-22 11:26:14
Block_J6-319,2019-11-22 16:24:56
