Block,datetime
Block_J7-38,2020-02-01 18:23:47
Block_J7-39,2020-02-03 11:13:41
Block_J7-40,2020-02-03 11:19:44
Block_J7-41,2020-02-03 11:20:24
Block_J7-42,2020-02-03 11:20:45
Block_J7-43,2020-02-03 17:11:33
Block_J7-44,2020-02-03 17:43:57
Block_J7-45,2020-02-04 10:27:40
Block_J7-46,2020-02-04 10:37:25
Block_J7-47,2020-02-04 17:02:49
Block_J7-48,2020-02-04 17:26:09
Block_J7-49,2020-02-05 11:17:51
Block_J7-50,2020-02-05 16:47:18
Block_J7-51,2020-02-06 12:10:22
Block_J7-52,2020-02-06 17:37:37
Block_J7-53,2020-02-06 18:04:19
Block_J7-54,2020-02-07 11:41:45
Block_J7-55,2020-02-07 17:01:49
Block_J7-56,2020-02-08 17:17:39
Block_J7-57,2020-02-11 10:42:40
Block_J7-58,2020-02-11 16:50:11
Block_J7-59,2020-02-12 11:07:31
Block_J7-60,2020-02-12 17:07:19
Block_J7-62,2020-02-13 09:36:01
Block_J7-63,2020-02-13 15:54:42
Block_J7-64,2020-02-14 10:22:38
Block_J7-65,2020-02-14 10:23:01
Block_J7-66,2020-02-14 15:48:40
Block_J7-67,2020-02-17 11:18:29
Block_J7-68,2020-02-17 17:37:37
Block_J7-69,2020-02-18 11:15:03
Block_J7-70,2020-02-18 17:37:48
Block_J7-71,2020-02-18 17:38:19
Block_J7-72,2020-02-19 12:18:30
Block_J7-73,2020-02-19 12:18:55
Block_J7-74,2020-02-19 18:20:20
Block_J7-75,2020-02-20 10:51:16
Block_J7-76,2020-02-20 17:36:53
Block_J7-72_FRA,2020-02-29 11:34:25
Block_J8-1,2020-03-02 10:58:47
Block_J8-2,2020-03-02 18:13:23
Block_J8-3,2020-03-03 11:04:09
Block_J8-4,2020-03-03 11:06:24
Block_J8-5,2020-03-03 11:08:39
Block_J8-6,2020-03-03 17:08:41
Block_J8-7,2020-03-04 08:39:37
Block_J8-8,2020-03-04 15:35:04
Block_J8-10,2020-03-05 16:48:43
Block_J8-9,2020-03-05 10:46:22
Block_J8-11,2020-03-06 11:57:03
Block_J8-12,2020-03-06 17:23:23
Block_J8-13,2020-05-04 12:02:56
Block_J8-14,2020-05-04 17:26:12
Block_J8-15,2020-05-04 17:26:51
Block_J8-16,2020-05-04 17:44:20
Block_J8-17,2020-05-04 17:44:43
Block_J8-18,2020-05-05 12:44:01
Block_J8-19,2020-05-05 17:36:54
Block_J8-20,2020-05-06 12:44:29
Block_J8-21,2020-05-06 18:24:50
Block_J8-22,2020-05-07 11:21:11
Block_J8-23,2020-05-07 16:26:15
Block_J8-24,2020-05-08 11:27:57
Block_J8-25,2020-05-08 16:42:05
