Block,datetime
Block_J8-124,2020-08-22 12:50:28
Block_J8-125,2020-08-22 12:51:45
Block_J8-126,2020-08-25 16:17:34
Block_J8-127,2020-08-26 10:36:45
Block_J8-128,2020-08-26 18:14:03
Block_J8-129,2020-08-27 09:46:25
Block_J8-130,2020-08-27 18:23:27
Block_J8-131,2020-08-28 12:38:07
Block_J8-132,2020-08-28 12:38:59
Block_J8-133,2020-08-28 12:39:27
Block_J8-134,2020-08-28 18:11:18
Block_J8-135,2020-08-31 11:06:12
Block_J8-136,2020-08-31 18:44:13
Block_J8-137,2020-09-01 10:42:11
Block_J8-138,2020-09-01 18:14:16
Block_J8-139,2020-09-02 12:46:32
Block_J8-140,2020-09-02 18:11:52
Block_J8-141,2020-09-03 10:46:16
Block_J8-142,2020-09-03 18:19:32
Block_J8-143,2020-09-04 10:50:35
Block_J8-144,2020-09-04 17:27:59
Block_J8-145,2020-09-12 11:02:04
Block_J8-146,2020-09-14 12:05:16
Block_J8-147,2020-09-14 18:08:53
Block_J8-148,2020-09-15 10:43:41
Block_J8-149,2020-09-15 18:39:57
Block_J8-150,2020-09-16 10:46:40
Block_J8-151,2020-09-16 16:39:38
Block_J8-152,2020-09-17 12:19:57
Block_J8-153,2020-09-17 18:36:59
Block_J8-154,2020-09-18 13:14:21
Block_J8-155,2020-09-18 18:36:03
Block_J8-156,2020-09-21 12:55:54
Block_J8-157,2020-09-21 18:04:51
Block_J8-158,2020-09-22 12:17:14
Block_J8-159,2020-09-22 17:59:47
Block_J8-160,2020-09-23 13:00:26
Block_J8-161,2020-09-23 18:19:47
Block_J8-162,2020-09-24 12:10:29
Block_J8-163,2020-09-24 18:23:33
Block_J8-164,2020-09-25 12:41:55
Block_J8-165,2020-09-25 17:52:29
