Day,Month,Year,Zero,Channel,Position,Depth
23,11,2019,25,2,23.4,
23,11,2019,25,3,22.5,
23,11,2019,25,4,23,
23,11,2019,25,6,23.6,
23,11,2019,25,7,23.7,
23,11,2019,25,8,24.3,
23,11,2019,25,9,23.2,
23,11,2019,25,10,24,
23,11,2019,25,11,22.6,
23,11,2019,25,12,22.3,
23,11,2019,25,13,22.3,
23,11,2019,25,14,23.5,
23,11,2019,25,15,23,
23,11,2019,25,16,22.3,
23,11,2019,25,17,23.3,
23,11,2019,25,18,23.6,
23,11,2019,25,19,24,
23,11,2019,25,20,22.8,
23,11,2019,25,21,22.9,
23,11,2019,25,22,24,
23,11,2019,25,23,22.4,
23,11,2019,25,24,22.4,
23,11,2019,25,25,22.3,
23,11,2019,25,26,22.7,
23,11,2019,25,27,23.7,
23,11,2019,25,28,22.8,
23,11,2019,25,29,23.3,
23,11,2019,25,30,23.6,
23,11,2019,25,31,23,
14,12,2019,25,0,22.7,
14,12,2019,25,1,20.7,
14,12,2019,25,2,23.2,
14,12,2019,25,3,22.4,
14,12,2019,25,6,23.55,
14,12,2019,25,7,23.6,
14,12,2019,25,8,24.15,
14,12,2019,25,12,22.1,
14,12,2019,25,13,22.2,
14,12,2019,25,14,23.4,
14,12,2019,25,15,22.8,
14,12,2019,25,16,22.1,
14,12,2019,25,17,23.25,
14,12,2019,25,18,23.2,
14,12,2019,25,19,23.9,
14,12,2019,25,20,22.5,
14,12,2019,25,21,22.85,
14,12,2019,25,22,23.95,
14,12,2019,25,25,22.25,
14,12,2019,25,26,22.5,
14,12,2019,25,27,23.4,
14,12,2019,25,28,22.5,
14,12,2019,25,29,23,
14,12,2019,25,30,23.3,
14,12,2019,25,31,22.75,
29,2,2020,25,0,224,
29,2,2020,25,1,20.5,
29,2,2020,25,2,22.9,
29,2,2020,25,3,22.2,
29,2,2020,25,4,22.8,
29,2,2020,25,6,23.3,
29,2,2020,25,7,23.3,
29,2,2020,25,8,24,
29,2,2020,25,9,23.15,
29,2,2020,25,10,23.9,
29,2,2020,25,11,22.5,
29,2,2020,25,12,21.8,
29,2,2020,25,13,21.9,
29,2,2020,25,14,23.05,
29,2,2020,25,15,22.5,
29,2,2020,25,16,21.8,
29,2,2020,25,17,23,
29,2,2020,25,18,22.9,
29,2,2020,25,19,23.6,
29,2,2020,25,20,22.2,
29,2,2020,25,21,22.7,
29,2,2020,25,23,22.3,
29,2,2020,25,24,22.3,
29,2,2020,25,25,22,
29,2,2020,25,26,22.1,
29,2,2020,25,27,23,
29,2,2020,25,28,22.1,
29,2,2020,25,29,22.7,
29,2,2020,25,30,22.95,
29,2,2020,25,31,22.3,
30,5,2020,25,0,22.2,
30,5,2020,25,1,20.2,
30,5,2020,25,2,22.75,
30,5,2020,25,3,22,
30,5,2020,25,4,22.65,
30,5,2020,25,6,23.1,
30,5,2020,25,7,23.2,
30,5,2020,25,8,23.8,
30,5,2020,25,10,23.7,
30,5,2020,25,11,22.4,
30,5,2020,25,12,21.6,
30,5,2020,25,13,21.6,
30,5,2020,25,14,22.75,
30,5,2020,25,15,22.2,
30,5,2020,25,16,21.5,
30,5,2020,25,17,22.75,
30,5,2020,25,18,22.6,
30,5,2020,25,19,23.5,
30,5,2020,25,20,22.05,
30,5,2020,25,21,22.6,
30,5,2020,25,23,22.1,
30,5,2020,25,24,22.1,
30,5,2020,25,25,21.9,
30,5,2020,25,26,21.85,
30,5,2020,25,27,22.8,
30,5,2020,25,28,22,
30,5,2020,25,29,22.4,
30,5,2020,25,30,22.6,
30,5,2020,25,31,22.15,
