Day,Month,Year,Zero,Channel,Position,Depth
10,5,2020,25,24,22.3,-2.7
10,5,2020,25,25,22,-3
10,5,2020,25,26,22.4,-2.6
10,5,2020,25,27,22.4,-2.6
10,5,2020,25,28,22.4,-2.6
10,5,2020,25,29,21.9,-3.1
27,6,2020,25,0,23.5,-1.5
27,6,2020,25,1,21.2,-3.8
27,6,2020,25,2,22.75,-2.25
27,6,2020,25,3,23.3,-1.7
27,6,2020,25,4,22.65,-2.35
27,6,2020,25,5,22.9,-2.1
27,6,2020,25,6,23,-2
27,6,2020,25,7,21.9,-3.1
27,6,2020,25,8,22.3,-2.7
27,6,2020,25,9,22.7,-2.3
27,6,2020,25,10,21.65,-3.35
27,6,2020,25,11,22.95,-2.05
27,6,2020,25,12,22.8,-2.2
27,6,2020,25,13,23.3,-1.7
27,6,2020,25,15,21.3,-3.7
27,6,2020,25,16,22.4,-2.6
27,6,2020,25,17,21.9,-3.1
27,6,2020,25,18,22.7,-2.3
27,6,2020,25,19,22.85,-2.15
27,6,2020,25,20,23.65,-1.35
27,6,2020,25,21,23.05,-1.95
27,6,2020,25,22,21.9,-3.1
27,6,2020,25,23,21.4,-3.6
27,6,2020,25,24,22.2,-2.8
27,6,2020,25,25,21.9,-3.1
27,6,2020,25,26,22.3,-2.7
27,6,2020,25,27,22.3,-2.7
27,6,2020,25,28,22.3,-2.7
27,6,2020,25,29,21.8,-3.2
22,8,2020,25,0,23.4,-1.6
22,8,2020,25,1,21.1,-3.9
22,8,2020,25,2,22.6,-2.4
22,8,2020,25,3,23.2,-1.8
22,8,2020,25,4,22.5,-2.5
22,8,2020,25,5,22.8,-2.2
22,8,2020,25,6,22.9,-2.1
22,8,2020,25,7,21.8,-3.2
22,8,2020,25,8,21.8,-3.2
22,8,2020,25,9,22.6,-2.4
22,8,2020,25,10,21.55,-3.45
22,8,2020,25,11,22.8,-2.2
22,8,2020,25,12,22.7,-2.3
22,8,2020,25,13,23.2,-1.8
22,8,2020,25,15,21.2,-3.8
22,8,2020,25,16,22.3,-2.7
22,8,2020,25,17,21.8,-3.2
22,8,2020,25,18,22.6,-2.4
22,8,2020,25,19,22.7,-2.3
22,8,2020,25,20,23.55,-1.45
22,8,2020,25,21,22.8,-2.2
22,8,2020,25,22,21.8,-3.2
22,8,2020,25,23,21.3,-3.7
22,8,2020,25,24,22.1,-2.9
22,8,2020,25,25,21.8,-3.2
22,8,2020,25,26,22.2,-2.8
22,8,2020,25,27,22.2,-2.8
22,8,2020,25,28,22.2,-2.8
22,8,2020,25,29,21.7,-3.3
3,10,2020,25,0,23.3,-1.7
3,10,2020,25,1,20.8,-4.2
3,10,2020,25,2,22.5,-2.5
3,10,2020,25,3,23.1,-1.9
3,10,2020,25,4,22.35,-2.65
3,10,2020,25,5,22.7,-2.3
3,10,2020,25,6,22.8,-2.2
3,10,2020,25,7,21.7,-3.3
3,10,2020,25,8,21.7,-3.3
3,10,2020,25,9,22.5,-2.5
3,10,2020,25,10,21.4,-3.6
3,10,2020,25,11,22.7,-2.3
3,10,2020,25,12,22.5,-2.5
3,10,2020,25,13,23.1,-1.9
3,10,2020,25,15,21,-4
3,10,2020,25,16,22.2,-2.8
3,10,2020,25,17,21.6,-3.4
3,10,2020,25,18,22.5,-2.5
3,10,2020,25,19,22.6,-2.4
3,10,2020,25,20,23.45,-1.55
3,10,2020,25,21,22.7,-2.3
3,10,2020,25,22,21.7,-3.3
3,10,2020,25,23,21.2,-3.8
3,10,2020,25,24,22,-3
3,10,2020,25,25,21.7,-3.3
3,10,2020,25,26,22,-3
3,10,2020,25,27,22.1,-2.9
3,10,2020,25,28,22.1,-2.9
3,10,2020,25,29,21.6,-3.4
1,11,2020,25,0,23.1,-1.9
1,11,2020,25,1,20.6,-4.4
1,11,2020,25,2,22.3,-2.7
1,11,2020,25,3,23,-2
1,11,2020,25,4,22,-3
1,11,2020,25,5,22.5,-2.5
1,11,2020,25,6,22.6,-2.4
1,11,2020,25,7,21.5,-3.5
1,11,2020,25,8,21.5,-3.5
1,11,2020,25,9,22.3,-2.7
1,11,2020,25,10,21.2,-3.8
1,11,2020,25,11,22.4,-2.6
1,11,2020,25,12,22.3,-2.7
1,11,2020,25,13,22.9,-2.1
1,11,2020,25,15,20.8,-4.2
1,11,2020,25,16,22.1,-2.9
1,11,2020,25,17,21.3,-3.7
1,11,2020,25,18,22.3,-2.7
1,11,2020,25,19,22.4,-2.6
1,11,2020,25,20,23.2,-1.8
1,11,2020,25,21,22.6,-2.4
1,11,2020,25,22,21.5,-3.5
1,11,2020,25,23,21.1,-3.9
1,11,2020,25,24,21.8,-3.2
1,11,2020,25,25,21.5,-3.5
1,11,2020,25,26,21.9,-3.1
1,11,2020,25,27,22,-3
1,11,2020,25,28,22,-3
1,11,2020,25,29,21.4,-3.6
14,12,2020,22.7,0,20.6,-2.1
14,12,2020,22.7,1,18.1,-4.6
14,12,2020,22.7,2,19.8,-2.9
14,12,2020,22.7,3,20.5,-2.2
14,12,2020,22.7,4,19.5,-3.2
14,12,2020,22.7,5,20,-2.7
14,12,2020,22.7,6,20.1,-2.6
14,12,2020,22.7,7,19,-3.7
14,12,2020,22.7,8,19,-3.7
14,12,2020,22.7,9,19.8,-2.9
14,12,2020,22.7,10,18.8,-3.9
14,12,2020,22.7,11,20,-2.7
14,12,2020,22.7,12,19.9,-2.8
14,12,2020,22.7,13,20.5,-2.2
14,12,2020,22.7,15,18.3,-4.4
14,12,2020,22.7,16,19.6,-3.1
14,12,2020,22.7,17,18.7,-4
14,12,2020,22.7,18,19.8,-2.9
14,12,2020,22.7,19,20,-2.7
14,12,2020,22.7,20,20.8,-1.9
14,12,2020,22.7,21,20.1,-2.6
14,12,2020,22.7,22,19.1,-3.6
14,12,2020,22.7,23,18.6,-4.1
14,12,2020,22.7,24,19.4,-3.3
14,12,2020,22.7,25,19.1,-3.6
14,12,2020,22.7,26,19.4,-3.3
14,12,2020,22.7,27,19.5,-3.2
14,12,2020,22.7,28,19.6,-3.1
14,12,2020,22.7,29,18.9,-3.8
16,1,2021,22.5,0,20.3,-2.2
16,1,2021,22.5,1,17.8,-4.7
16,1,2021,22.5,2,19.5,-3
16,1,2021,22.5,3,20.2,-2.3
16,1,2021,22.5,4,19.2,-3.3
16,1,2021,22.5,5,19.7,-2.8
16,1,2021,22.5,6,19.8,-2.7
16,1,2021,22.5,7,18.6,-3.9
16,1,2021,22.5,8,18.7,-3.8
16,1,2021,22.5,9,19.5,-3
16,1,2021,22.5,10,18.4,-4.1
16,1,2021,22.5,11,19.6,-2.9
16,1,2021,22.5,12,19.5,-3
16,1,2021,22.5,13,20.1,-2.4
16,1,2021,22.5,15,17.9,-4.6
16,1,2021,22.5,16,19.3,-3.2
16,1,2021,22.5,17,18.3,-4.2
16,1,2021,22.5,18,19.5,-3
16,1,2021,22.5,19,19.6,-2.9
16,1,2021,22.5,20,20.35,-2.15
16,1,2021,22.5,21,19.8,-2.7
16,1,2021,22.5,22,18.8,-3.7
16,1,2021,22.5,23,18.2,-4.3
16,1,2021,22.5,24,19,-3.5
16,1,2021,22.5,25,18.8,-3.7
16,1,2021,22.5,26,19.1,-3.4
16,1,2021,22.5,27,19.2,-3.3
16,1,2021,22.5,28,19.3,-3.2
16,1,2021,22.5,29,18.6,-3.9
