Day,Month,Year,Zero,Channel,Position,Depth
13,8,2019,22.8,0,22.5,-0.3
13,8,2019,22.8,0,22.75,-0.05
13,8,2019,22.8,1,20,-2.8
13,8,2019,22.8,2,21,-1.8
13,8,2019,22.8,3,22.2,-0.6
13,8,2019,22.8,3,22.45,-0.35
13,8,2019,22.8,4,21.1,-1.7
13,8,2019,22.8,4,21.35,-1.45
13,8,2019,22.8,5,21.3,-1.5
13,8,2019,22.8,5,21.55,-1.25
13,8,2019,22.8,6,21.5,-1.3
13,8,2019,22.8,6,21.75,-1.05
13,8,2019,22.8,7,20.75,-2.05
13,8,2019,22.8,7,21,-1.8
13,8,2019,22.8,8,21.2,-1.6
13,8,2019,22.8,8,21.4,-1.4
13,8,2019,22.8,9,21.2,-1.6
13,8,2019,22.8,9,21.35,-1.45
13,8,2019,22.8,10,20.4,-2.4
13,8,2019,22.8,10,20.6,-2.2
13,8,2019,22.8,11,21.5,-1.3
13,8,2019,22.8,11,21.8,-1
13,8,2019,22.8,12,21.5,-1.3
13,8,2019,22.8,12,22,-0.8
13,8,2019,22.8,13,22.4,-0.4
13,8,2019,22.8,13,22.65,-0.15
13,8,2019,22.8,15,20.5,-2.3
13,8,2019,22.8,15,20.8,-2
13,8,2019,22.8,16,21.5,-1.3
13,8,2019,22.8,16,21.75,-1.05
13,8,2019,22.8,17,21.1,-1.7
13,8,2019,22.8,17,21.35,-1.45
13,8,2019,22.8,18,21.7,-1.1
13,8,2019,22.8,18,22,-0.8
13,8,2019,22.8,19,21.5,-1.3
13,8,2019,22.8,19,21.9,-0.9
13,8,2019,22.8,20,22.1,-0.7
13,8,2019,22.8,20,22.4,-0.4
13,8,2019,22.8,21,21.9,-0.9
13,8,2019,22.8,21,22.1,-0.7
13,8,2019,22.8,22,20.8,-2
13,8,2019,22.8,22,21,-1.8
13,8,2019,22.8,23,20.5,-2.3
13,8,2019,22.8,23,20.8,-2
13,8,2019,22.8,24,21.1,-1.7
13,8,2019,22.8,24,21.35,-1.45
13,8,2019,22.8,25,21,-1.8
13,8,2019,22.8,25,21.2,-1.6
13,8,2019,22.8,26,21.4,-1.4
13,8,2019,22.8,26,21.7,-1.1
13,8,2019,22.8,27,21.4,-1.4
13,8,2019,22.8,27,21.7,-1.1
13,8,2019,22.8,28,21.3,-1.5
13,8,2019,22.8,28,21.5,-1.3
13,8,2019,22.8,29,20.8,-2
13,8,2019,22.8,29,21.1,-1.7
13,8,2019,22.8,30,21,-1.8
13,8,2019,22.8,31,19.5,-3.3
29,9,2019,25,0,24.4,-0.6
29,9,2019,25,1,22.1,-2.9
29,9,2019,25,2,23.1,-1.9
29,9,2019,25,3,24.2,-0.8
29,9,2019,25,7,22.75,-2.25
29,9,2019,25,8,23.2,-1.8
29,9,2019,25,10,22.5,-2.5
29,9,2019,25,12,23.6,-1.4
29,9,2019,25,13,24.3,-0.7
29,9,2019,25,15,22.5,-2.5
29,9,2019,25,16,23.5,-1.5
29,9,2019,25,17,23.1,-1.9
29,9,2019,25,18,23.8,-1.2
29,9,2019,25,19,23.6,-1.4
29,9,2019,25,21,23.8,-1.2
29,9,2019,25,22,22.75,-2.25
29,9,2019,25,23,22.5,-2.5
29,9,2019,25,24,23,-2
29,9,2019,25,25,23,-2
29,9,2019,25,26,23.3,-1.7
29,9,2019,25,27,23.35,-1.65
29,9,2019,25,28,23.2,-1.8
29,9,2019,25,29,22.8,-2.2
30,11,2019,25,0,24.05,-0.95
30,11,2019,25,1,21.9,-3.1
30,11,2019,25,2,23,-2
30,11,2019,25,3,23.9,-1.1
30,11,2019,25,7,22.6,-2.4
30,11,2019,25,8,23,-2
30,11,2019,25,10,22.3,-2.7
30,11,2019,25,11,23.5,-1.5
30,11,2019,25,12,23.5,-1.5
30,11,2019,25,13,24,-1
30,11,2019,25,15,22.1,-2.9
30,11,2019,25,16,23,-2
30,11,2019,25,17,22.6,-2.4
30,11,2019,25,18,23.5,-1.5
30,11,2019,25,19,23.5,-1.5
30,11,2019,25,20,24,-1
30,11,2019,25,21,23.4,-1.6
30,11,2019,25,22,22.3,-2.7
30,11,2019,25,23,22.1,-2.9
30,11,2019,25,24,22.6,-2.4
30,11,2019,25,25,22.5,-2.5
30,11,2019,25,26,23,-2
30,11,2019,25,27,23,-2
30,11,2019,25,28,22.9,-2.1
30,11,2019,25,29,22.5,-2.5
30,11,2019,25,31,21.5,-3.5
1,2,2020,25,0,23.9,-1.1
1,2,2020,25,1,21.8,-3.2
1,2,2020,25,2,22.9,-2.1
1,2,2020,25,3,23.7,-1.3
1,2,2020,25,4,23,-2
1,2,2020,25,5,23.4,-1.6
1,2,2020,25,6,23.5,-1.5
1,2,2020,25,7,22.3,-2.7
1,2,2020,25,8,22.7,-2.3
1,2,2020,25,9,23.1,-1.9
1,2,2020,25,10,22,-3
1,2,2020,25,11,23.2,-1.8
1,2,2020,25,12,23.2,-1.8
1,2,2020,25,13,23.7,-1.3
1,2,2020,25,15,21.8,-3.2
1,2,2020,25,16,22.9,-2.1
1,2,2020,25,17,22.3,-2.7
1,2,2020,25,18,23.2,-1.8
1,2,2020,25,19,23.2,-1.8
1,2,2020,25,20,23.9,-1.1
1,2,2020,25,21,23.3,-1.7
1,2,2020,25,22,22.2,-2.8
1,2,2020,25,23,21.8,-3.2
1,2,2020,25,24,22.5,-2.5
1,2,2020,25,25,22.3,-2.7
1,2,2020,25,26,22.7,-2.3
1,2,2020,25,27,22.7,-2.3
1,2,2020,25,28,22.6,-2.4
1,2,2020,25,29,22.2,-2.8
1,2,2020,25,31,21.4,-3.6
10,5,2020,25,0,23.6,-1.4
10,5,2020,25,1,21.6,-3.4
10,5,2020,25,2,22.85,-2.15
10,5,2020,25,3,23.4,-1.6
10,5,2020,25,4,22.75,-2.25
10,5,2020,25,5,23,-2
10,5,2020,25,6,23.1,-1.9
10,5,2020,25,7,22,-3
10,5,2020,25,8,22.4,-2.6
10,5,2020,25,9,22.8,-2.2
10,5,2020,25,10,21.75,-3.25
10,5,2020,25,11,23.05,-1.95
10,5,2020,25,12,22.9,-2.1
10,5,2020,25,13,23.4,-1.6
10,5,2020,25,15,21.4,-3.6
10,5,2020,25,16,22.5,-2.5
10,5,2020,25,17,22,-3
10,5,2020,25,18,22.8,-2.2
10,5,2020,25,19,22.95,-2.05
10,5,2020,25,20,23.75,-1.25
10,5,2020,25,21,23.15,-1.85
10,5,2020,25,22,22,-3
10,5,2020,25,23,21.5,-3.5
